Match_ID,Format,Match_Date,Team_1,Team_2,Venue,Host_Country,Toss,Innings,Batting_Team,Bowling_Team,Player,Role,Batting_Position,Runs,Balls,4s,6s,Strike_Rate,Overs,Maidens,Runs_Conceded,Wickets,Economy,Result,Player_of_the_Match
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,,Australia,JR Hazlewood,Bowler,,,,,,,17,1,74,3,4.35,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,,Australia,MA Starc,Bowler,,,,,,,19,2,71,4,3.74,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,,Australia,MR Marsh,Bowler,,,,,,,6,1,23,0,3.83,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,,Australia,NM Lyon,Bowler,,,,,,,10,1,38,2,3.8,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,,Australia,PM Siddle,Bowler,,,,,,,12,3,36,1,3.0,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,D Elgar,Batter,1,12,22,2,0,54.55,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,DW Steyn,Batter,2,4,4,1,0,100.0,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,F du Plessis,Batter,3,37,74,5,0,50.0,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,HM Amla,Batter,4,0,5,0,0,0.0,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,JP Duminy,Batter,5,11,23,0,0,47.83,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,K Rabada,Batter,6,11,12,2,0,91.67,,,,,,,K Rabada
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,KA Maharaj,Batter,7,16,19,1,1,84.21,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,Q de Kock,Batter,8,84,101,11,1,83.17,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,SC Cook,Batter,9,0,4,0,0,0.0,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,T Bavuma,Batter,10,51,86,7,0,59.3,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,1,South Africa,,VD Philander,Batter,11,10,32,1,0,31.25,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,2,Australia,,AC Voges,Batter,1,27,60,4,0,45.0,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,2,Australia,,DA Warner,Batter,2,97,100,16,1,97.0,,,,,,,
1000851,Test,2016-11-03,Australia,South Africa,Western Australia Cricket Association Ground,,South Africa chose to bat,2,Australia,,JR Hazlewood,Batter,3,4,5,0,0,80.0,,,,,,,
